2011	02	09	GA	CD	2	0	F	FR	9	1574	1407	+5	−2	65	110
2011	06	07	GA	GM	0	1	F		-17	1557	1389	−7	+3	69	112
2011	08	10	GA	GN	1	1	F	FR	-2	1555	1505	+1	0	70	85
2011	09	06	GA	NE	1	0	F	FR	4	1559	1334	+1	−2	69	126
2011	10	07	GA	GQ	2	0	F	FR	4	1563	1214	−2	0	71	150
2011	11	10	GA	BR	0	2	F		-3	1560	2060	0	0	72	4
2011	11	15	GH	GA	2	1	F	FR	5	1773	1555	+2	+2	24	70
2012	01	09	GA	BF	0	0	F		-4	1551	1521	0	+1	73	80
2012	01	16	GA	SD	0	0	F		-6	1545	1404	0	+1	73	107
2012	01	23	GA	NE	2	0	AR		10	1555	1319	+2	−1	72	128
2012	01	27	GA	MA	3	2	AR		17	1572	1524	+5	−4	66	79
2012	01	31	GA	TN	1	0	AR		21	1593	1590	+7	−5	59	60
2012	02	05	GA	ML	1	1	AR		-11	1582	1537	−5	+4	64	74
2012	06	03	NE	GA	0	0	WQ		10	1303	1572	+3	−2	130	67
2012	06	09	GA	BF	1	0	WQ		8	1580	1424	+2	0	64	102
2012	06	15	ZA	GA	3	0	F		14	1574	1566	+6	−7	66	71
2012	09	08	GA	TG	1	1	FQ		-15	1551	1359	−2	+4	72	115
2012	09	11	GA	SA	1	0	F	FR	8	1559	1472	0	−1	71	92
2012	10	14	TG	GA	2	1	FQ		26	1385	1533	+5	−3	112	76
2012	11	14	GA	PT	2	2	F		7	1540	1904	+2	−1	74	10
2013	01	10	GA	TN	1	1	F	AE	2	1542	1591	+1	0	74	61
2013	01	15	LB	GA	0	0	F		3	1330	1539	0	0	130	75
2013	03	23	CG	GA	1	0	WQ		23	1405	1516	+5	−8	108	83
2013	06	08	GA	CG	0	0	WQ		-11	1505	1416	−5	+1	86	106
2013	06	15	GA	NE	4	1	WQ		10	1515	1283	+4	−1	84	138
2013	08	14	CV	GA	1	1	F	PT	2	1461	1513	+3	−1	94	86
2013	09	07	BF	GA	1	0	WQ		12	1566	1501	+7	−2	66	87
2014	03	05	MA	GA	1	1	F		-4	1526	1505	−1	+3	77	84
2014	07	12	RW	GA	1	0	F		11	1370	1494	+4	−4	117	86
2014	07	27	GA	RW	0	1	F		-16	1478	1366	−3	+9	89	117
2014	09	06	GA	AO	1	0	FQ		14	1492	1452	+4	−4	86	99
